8285	18206	
28141	41	
13006	29542	
15408	38720	
35416	44200	
30087	5076	
47241	30800	
45255	39649	
11434	32178	
37472	11438	
5729	29947	
10546	3459	
49287	4802	
9965	11237	
45825	24254	
25827	9293	
27805	38737	
27404	15782	
10043	42274	
37414	4741	
33925	13289	
36087	42675	
13821	17011	
8433	43926	
19441	41813	
25136	5374	
1933	16525	
13939	4059	
21470	47795	
35364	47675	
21406	32799	
21766	46785	
577	10885	
43882	43761	
2587	1803	
49150	13368	
17228	41707	
12755	32409	
10281	41395	
35577	25170	
11559	23514	
44009	44557	
23782	5581	
25966	40354	
49289	30120	
38689	32122	
22318	3600	
30368	34542	
17902	22748	
44011	12078	
15650	8788	
45067	39213	
14799	4034	
28638	35482	
23792	7717	
40115	34473	
35024	34661	
33502	13408	
14480	24544	
20985	35726	
2603	24995	
9688	37285	
13651	26788	
42087	10376	
28743	9036	
33330	29952	
5396	37266	
18576	43673	
47589	9347	
17581	19385	
42520	24413	
40019	18544	
18494	48266	
5301	33546	
4799	32603	
26327	3314	
26664	5578	
12797	40369	
21810	22385	
32622	45524	
38688	43768	
42788	41483	
33701	14985	
34851	10558	
23375	13857	
15412	42042	
41428	4815	
43870	13897	
12535	1646	
34655	8416	
16087	13199	
38748	15969	
46565	480	
6451	45057	
36463	21353	
28761	948	
46	44837	
33125	12948	
10536	47165	
5623	33937	
9347	30864	
38215	14386	
9415	42479	
6454	30602	
36479	31636	
3251	24245	
2956	13571	
4988	15681	
38053	31033	
41246	47178	
9326	24433	
28188	8574	
43700	24390	
8216	15583	
28707	39970	
16305	19190	
31269	5636	
46841	35381	
14327	42752	
5473	2933	
8089	20881	
41123	49166	
23697	4906	
18012	22533	
12205	20874	
1732	46559	
28083	36237	
45899	4804	
215	36607	
25426	42847	
16409	107	
35923	2626	
1751	3954	
6782	2646	
28470	28503	
18594	39327	
17033	16199	
4740	36782	
34972	23191	
39934	18673	
31872	20917	
10695	5397	
37138	48192	
15531	6268	
1066	31988	
19639	38585	
49437	1437	
46675	16071	
19456	30989	
16044	250	
23770	33848	
42685	9373	
43732	7084	
18601	30730	
31519	13391	
9816	28985	
23746	36529	
6956	18224	
19039	10272	
34590	35960	
47105	47401	
23354	9664	
45684	27708	
41828	21914	
20353	16681	
42837	24676	
12965	7575	
44214	46449	
9437	9924	
37591	7334	
40959	6198	
45437	27713	
7736	24799	
22134	45683	
3550	37103	
32842	44446	
42689	35347	
13984	1401	
21171	15004	
5817	42176	
14384	27675	
17758	22552	
24908	4568	
34529	1873	
36152	12353	
5554	31829	
97	12575	
11697	27325	
38309	23893	
47274	42610	
3746	17330	
29874	11328	
49869	27093	
11932	6519	
12956	20320	
16473	41675	
5937	14934	
35786	204	
42259	35982	
26307	18464	
18602	23337	
35565	40107	
775	33584	
15704	6849	
12206	3446	
13852	33570	
833	24652	
36890	28260	
17994	35972	
19396	34063	
42516	7150	
42949	5233	
662	36974	
43582	45905	
8814	40126	
1358	19137	
46294	32431	
19133	48493	
49942	25419	
36726	40689	
4470	13382	
47343	17287	
32077	1299	
46742	11276	
6331	28195	
9946	32916	
33423	7192	
35922	18964	
14358	3367	
20254	38430	
30993	30332	
39480	16810	
30081	43015	
22502	40927	
35746	8661	
33776	561	
22737	22026	
5304	32052	
427	38457	
16298	10078	
48452	17478	
44370	23387	
17601	15426	
9717	28314	
16290	41974	
13549	36533	
49903	46235	
25956	37438	
17182	48358	
14716	32292	
39599	977	
35224	22373	
5252	1684	
17883	3805	
36304	16563	
6235	47581	
37626	25297	
1761	33399	
30478	27666	
3168	1126	
24592	20094	
49392	20138	
5678	15697	
38342	32608	
42466	11519	
48194	26449	
35088	45925	
39700	33649	
36194	18938	
30139	17767	
9054	24309	
43980	23709	
25984	16840	
4155	24509	
43769	27818	
14185	18395	
37988	25827	
14139	31650	
25217	1888	
26370	5270	
32656	41862	
35532	409	
2987	11427	
36439	8473	
22976	23344	
48685	27462	
15434	3859	
29617	15809	
25515	19888	
23716	25360	
2568	35871	
13043	15343	
16753	14986	
44769	49776	
33963	12909	
40317	24067	
1516	8112	
15296	34160	
32163	20832	
48549	1217	
25441	8137	
37301	813	
11144	25728	
14942	41423	
41070	32908	
49823	4021	
3837	39237	
13970	23124	
20139	37397	
6263	46185	
22849	46572	
16953	34459	
27835	12479	
13088	32044	
35643	20000	
47618	42381	
25961	3000	
3350	1745	
22219	38929	
22647	37802	
4253	36209	
21409	12224	
8142	31040	
21691	40736	
21959	47002	
13393	45745	
9400	12176	
48556	42098	
24384	20521	
40672	38830	
37176	40487	
42179	27682	
21565	4244	
14933	48165	
16777	34426	
41488	6	
22029	6769	
36493	6852	
45613	948	
10160	41206	
37352	22157	
19570	13931	
17522	40287	
24905	10283	
24272	16530	
24022	18429	
38351	37128	
3866	3842	
40609	19742	
6006	1678	
37429	1151	
45229	5879	
43505	18834	
44264	20373	
21503	35780	
18711	40682	
24882	37968	
36591	17947	
37940	1259	
42932	44140	
8269	33836	
21300	5274	
24450	34296	
31901	30338	
12295	35884	
17900	48143	
46882	44387	
147	31361	
41438	36552	
12470	12296	
47736	17941	
515	3695	
16170	46953	
2251	15958	
20834	10825	
23953	24408	
15886	9709	
16942	36588	
31686	47499	
40799	6086	
46277	33873	
9628	47389	
15030	46715	
19269	792	
29207	18469	
45595	36865	
